Games e tecnologia;Fácil;Qual empresa desenvolveu o jogo 'Minecraft'?;Mojang;Valve;Epic Games;Ubisoft;A;'Minecraft' foi criado pela Mojang, estúdio sueco fundado por Markus Persson.
Games e tecnologia;Fácil;Qual console foi lançado junto com o jogo 'Super Mario 64'?;Super Nintendo;Nintendo 64;Wii;GameCube;B;'Super Mario 64' foi o título de lançamento do Nintendo 64 em 1996.
Games e tecnologia;Fácil;Qual é o nome do protagonista da série 'The Legend of Zelda'?;Zelda;Ganon;Link;Epona;C;Apesar do nome da série, o herói principal é Link.
Games e tecnologia;Fácil;Qual empresa desenvolveu a franquia 'The Sims'?;Maxis;Ubisoft;Konami;Rockstar;A;A franquia 'The Sims' foi criada pela Maxis e publicada pela EA.
Games e tecnologia;Fácil;Qual desses é um console da Sony?;Xbox One;Nintendo Switch;PlayStation 5;Wii U;C;O PlayStation 5 é o console de nova geração da Sony.
Games e tecnologia;Fácil;Em qual jogo você encontra o personagem 'Kratos'?;God of War;Assassin’s Creed;The Witcher;Dark Souls;A;Kratos é o protagonista da série 'God of War'.
Games e tecnologia;Fácil;Qual é o nome do personagem principal de 'Halo'?;Doomguy;Marcus Fenix;Master Chief;Cortana;C;Master Chief é o herói da série 'Halo'.
Games e tecnologia;Fácil;Qual empresa criou o sistema operacional Windows?;Apple;Google;IBM;Microsoft;D;O Windows é desenvolvido pela Microsoft desde os anos 80.
Games e tecnologia;Fácil;O que significa a sigla 'CPU'?;Central Personal Unit;Central Processing Unit;Control Panel User;Core Processing Utility;B;CPU significa Unidade Central de Processamento.
Games e tecnologia;Fácil;Qual jogo se passa em uma cidade chamada Los Santos?;Watch Dogs;GTA V;Mafia;Sleeping Dogs;B;Los Santos é a cidade fictícia principal de 'Grand Theft Auto V'.
Games e tecnologia;Fácil;Qual empresa fabrica os consoles Xbox?;Sony;Nintendo;Sega;Microsoft;D;A Microsoft é responsável pela linha de consoles Xbox.
Games e tecnologia;Fácil;Em qual jogo o personagem Sonic aparece?;Donkey Kong;Crash Bandicoot;Sonic the Hedgehog;Pac-Man;C;Sonic é o mascote da Sega e estrela sua própria franquia.
Games e tecnologia;Fácil;O que é um 'smartphone'?;Telefone com câmera;Telefone com tela colorida;Telefone inteligente;Telefone fixo;C;Smartphone é um telefone com funções avançadas, como internet e apps.
Games e tecnologia;Fácil;Qual empresa produz os chips gráficos GeForce?;AMD;Intel;Microsoft;NVIDIA;D;A NVIDIA é líder no mercado de GPUs com sua linha GeForce.
Games e tecnologia;Fácil;Qual é o nome do criador do Facebook?;Elon Musk;Jeff Bezos;Mark Zuckerberg;Steve Jobs;C;Mark Zuckerberg fundou o Facebook em 2004.
Games e tecnologia;Fácil;Qual dispositivo é usado para realidade virtual?;Joystick;Teclado;Mouse;Óculos VR;D;Óculos de realidade virtual como o Oculus Quest criam ambientes imersivos.
Games e tecnologia;Fácil;Qual desses jogos pertence à franquia 'Call of Duty'?;Battlefield;Warzone;Valorant;PUBG;B;'Call of Duty: Warzone' é um dos modos mais populares da franquia.
Games e tecnologia;Fácil;Qual é o nome da assistente virtual da Amazon?;Cortana;Alexa;Siri;Bixby;B;Alexa é a assistente inteligente da Amazon.
Games e tecnologia;Fácil;O que significa a sigla 'USB'?;Universal Serial Bus;User Secure Block;Ultra System Board;Unified Signal Backup;A;USB é uma tecnologia padrão para conectar periféricos.
Games e tecnologia;Fácil;Qual empresa é responsável pela série 'Assassin’s Creed'?;Rockstar;Bethesda;Ubisoft;EA;C;A Ubisoft é a desenvolvedora da franquia 'Assassin’s Creed'.
Games e tecnologia;Fácil;Qual console foi lançado pela Nintendo em 2006 com sensor de movimento?;GameCube;Switch;Wii;DS;C;O Nintendo Wii foi inovador por usar sensores de movimento.
Games e tecnologia;Fácil;Qual é o objetivo principal no jogo 'Tetris'?;Atirar nos blocos;Destruir inimigos;Combinar cores;Encaixar peças;D;'Tetris' consiste em encaixar blocos de diferentes formas.
Games e tecnologia;Fácil;O que significa a sigla 'HD' em TVs?;Hard Display;High Definition;Horizontal Display;Hyper Device;B;'HD' significa Alta Definição de imagem.
Games e tecnologia;Fácil;Qual personagem é conhecido por coletar anéis dourados?;Mario;Crash;Sonic;Donkey Kong;C;Sonic é famoso por sua velocidade e por coletar anéis.
Games e tecnologia;Fácil;Qual franquia possui criaturas chamadas 'Creepers'?;Terraria;Minecraft;Roblox;Rust;B;Creepers são inimigos explosivos no universo de 'Minecraft'.
Games e tecnologia;Fácil;Qual empresa criou o navegador Chrome?;Microsoft;Mozilla;Google;Apple;C;O Google Chrome foi lançado em 2008.
Games e tecnologia;Fácil;O que é um 'mod' em jogos?;Erro de sistema;Modo de trapaça;Atualização oficial;Modificação criada por usuários;D;Mods são alterações criadas por fãs ou comunidades.
Games e tecnologia;Fácil;Qual plataforma é usada para assistir transmissões de jogos ao vivo?;Netflix;Twitch;Zoom;Discord;B;Twitch é a plataforma líder em streaming de games.
Games e tecnologia;Fácil;Quem é o mascote clássico da Nintendo?;Crash;Pikachu;Mario;Link;C;Mario é o personagem mais conhecido da Nintendo.
Games e tecnologia;Fácil;O que é um joystick?;Tipo de mouse;Controle de videogame;Peça do computador;Sistema de som;B;Joystick é um controle usado para interagir com jogos.
